model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,05-14,pneumococcal_disease_survstat,4,4,4,4,4,4,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,05-14,pneumococcal_disease_survstat,11,11,11,11,11,11,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,05-14,pneumococcal_disease_survstat,9,9,9,9,9,9,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,05-14,pneumococcal_disease_survstat,2,2,2,2,2,2,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,15-34,pneumococcal_disease_survstat,12,10,10,11,12,18,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,15-34,pneumococcal_disease_survstat,11,11,11,11,11,15,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,15-34,pneumococcal_disease_survstat,10,10,10,10,10,12,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,15-34,pneumococcal_disease_survstat,7,7,7,7,7,7,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,15-34,pneumococcal_disease_survstat,18,18,18,18,18,18,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,35-59,pneumococcal_disease_survstat,57,50,53,56,60,70,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,35-59,pneumococcal_disease_survstat,70,67,67,68,71,84,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,35-59,pneumococcal_disease_survstat,65,63,63,63,65,74,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,35-59,pneumococcal_disease_survstat,46,45,45,45,46,51,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,35-59,pneumococcal_disease_survstat,37,37,37,37,37,40,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,60-79,pneumococcal_disease_survstat,216,192,205,214,225,253,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,60-79,pneumococcal_disease_survstat,143,132,136,141,147,164,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,60-79,pneumococcal_disease_survstat,115,109,111,113,118,130,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,60-79,pneumococcal_disease_survstat,112,109,110,111,114,122,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,60-79,pneumococcal_disease_survstat,73,72,72,73,74,77,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,80+,pneumococcal_disease_survstat,149,134,143,148,154,169,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,80+,pneumococcal_disease_survstat,71,62,66,70,74,87,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,80+,pneumococcal_disease_survstat,75,69,71,74,78,89,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,80+,pneumococcal_disease_survstat,57,54,55,56,59,68,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,80+,pneumococcal_disease_survstat,39,38,38,39,40,42,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE,00+,pneumococcal_disease_survstat,449,413,434,447,462,495,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE,00+,pneumococcal_disease_survstat,305,284,294,302,314,345,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE,00+,pneumococcal_disease_survstat,283,270,276,281,289,309,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE,00+,pneumococcal_disease_survstat,242,234,237,240,245,257,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE,00+,pneumococcal_disease_survstat,175,172,173,174,176,181,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-BB,00+,pneumococcal_disease_survstat,13,11,11,11,13,24,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-BB,00+,pneumococcal_disease_survstat,10,9,9,9,10,15,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-BB,00+,pneumococcal_disease_survstat,14,14,14,14,14,19,FALSE
